Script File,Title,Female Total,Male Total,Either Total,Female Positive Agency,Female Negative Agency,Male Positive Agency,Male Negative Agency,Either Positive Agency,Either Negative Agency,Female Power,Male Power,Either Power
./scriptbase titles/Apocalypse Now/script.txt,Apocalypse Now,54,532,216,33,4,291,76,139,27,29,226,98
./scriptbase titles/The Ladykillers (2004 film)/script.txt,The Ladykillers (2004 film),98,273,58,62,13,188,19,35,7,49,135,33
./scriptbase titles/Rachel Getting Married/script.txt,Rachel Getting Married,411,91,156,247,52,50,17,98,18,180,46,74
./scriptbase titles/The Evil Dead/script.txt,The Evil Dead,104,136,31,64,12,86,11,16,2,44,61,16
./scriptbase titles/Scary Movie 2/script.txt,Scary Movie 2,321,321,165,198,45,202,36,86,20,154,149,75
./scriptbase titles/Juno (film)/script.txt,Juno (film),215,79,127,133,23,41,18,70,21,99,42,57
./scriptbase titles/The Hebrew Hammer/script.txt,The Hebrew Hammer,118,213,75,75,7,123,21,56,5,45,97,38
./scriptbase titles/Event Horizon (film)/script.txt,Event Horizon (film),78,276,102,46,9,161,35,52,17,34,128,36
./scriptbase titles/Inventing the Abbotts/script.txt,Inventing the Abbotts,391,517,98,201,52,303,91,49,16,153,250,44
./scriptbase titles/Deep Cover/script.txt,Deep Cover,144,528,148,67,18,286,77,73,23,59,231,57
./scriptbase titles/Lord of War/script.txt,Lord of War,64,360,147,36,10,193,50,97,15,35,157,76
./scriptbase titles/John Q/script.txt,John Q,60,262,130,39,8,129,32,74,16,28,94,62
./scriptbase titles/Apocalypse Now Redux/script.txt,Apocalypse Now Redux,77,538,220,45,8,315,78,134,33,32,233,90
./scriptbase titles/Rambling Rose (film)/script.txt,Rambling Rose (film),429,392,120,179,88,178,78,78,21,194,153,53
"./scriptbase titles/Sex, Lies, and Videotape/script.txt","Sex, Lies, and Videotape",227,290,103,144,17,151,46,61,9,114,135,60
./scriptbase titles/Life of Pi (film)/script.txt,Life of Pi (film),23,342,412,7,4,203,58,235,90,6,139,183
